keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Sturmflut Sperrwerk',de,Mitigation,#9e3215,#9e3215,1,0.3895583111971171
'Sturmflut Springflut',de,Causes,#679e2c,#7db344,2,0.3775354066343748
'Sturmflut Klimawandel',de,Causes,#679e2c,#477515,1,0.3726637600350333
'Sturmflut Rettungskräfte',de,Mitigation,#9e3215,#9e3215,1,0.3720062187499999
'Sturmflut Folgen',de,Impacts,#a89216,#a89216,1,0.3669885146481249
'Sturmflut Überflutung',de,Impacts,#a89216,#a89216,1,0.3668384996481249
'Sturmflut Tote',de,Impacts,#a89216,#87830f,1,0.3659908023868748
'Sturmflut Tief',de,Causes,#679e2c,#7db344,1,0.3409764729452156
'Sturmflut Sturmtief',de,Causes,#679e2c,#7db344,1,0.3370283168860119
'Sturmflut Nordsee',de,Hazard,#4287f5,#638ed4,1,0.3352078949637566
'Sturmflut Küstenschutz',de,Mitigation,#9e3215,#b55035,1,0.3346971842421101
'Sturmflut Deiche',de,Mitigation,#9e3215,#802d16,1,0.3326126549734344
'Sturmflut Sturmböen',de,Causes,#679e2c,#61b00c,1,0.3313032152598493
'Sturmflut Hochwasser',de,Impacts,#a89216,#a89216,1,0.32989207702992
'Sturmflut Sandsäcke',de,Mitigation,#9e3215,#b55035,1,0.3294847026508848
'Sturmflut Starkregen',de,Causes,#679e2c,#477515,1,0.3288052117968749
'Sturmflut Ostsee',de,Hazard,#4287f5,#638ed4,1,0.3182807855048124
'Sturmflut Verletzte',de,Impacts,#a89216,#87830f,1,0.3139318206518124
'Sturmflut Wellen',de,Impacts,#a89216,#a89216,1,0.3125402974509061
'Sturmflut Fährausfälle',de,Impacts,#a89216,#a89216,1,0.3119878315848436
'Sturmflut Zerstörung',de,Impacts,#a89216,#a89216,1,0.3110416832294687
'Sturmflut Sturmschäden',de,Impacts,#a89216,#a89216,1,0.3105937187499999
'Sturmflut Warnung',de,Mitigation,#9e3215,#802d16,1,0.3030842743259422
'Sturmflut Schäden',de,Impacts,#a89216,#87830f,1,0.2839848431929374
'Sturmflut Pegel',de,Hazard,#4287f5,#3b4a63,1,0.2823264511692344
'Sturmflut',de,Hazard,#4287f5,#638ed4,1,0.2785387311298294
'Sturmflut Sand',de,Impacts,#a89216,#a89216,1,0.2771097683211933
'Sturmflut Wiederaufbau',de,Mitigation,#9e3215,#802d16,1,0.2699469885089161
'Sturmflut Fährverbindung',de,Impacts,#a89216,#a89216,1,0.2640046609374999
'Sturmflut Einsatzkräfte',de,Mitigation,#9e3215,#d64118,1,0.2390986853072864
'Sturmflut Evakuierung',de,Mitigation,#9e3215,#802d16,1,0.229035886315752
'Sturmflut Hurrikan',de,Causes,#679e2c,#679e2c,1,0.2284583190898436
