domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.kicker.de,0.08587433587433584,0.21961498380526237,0.03212998712998714,0.10147413745383883,259.0
www.stern.de,0.0914003289003289,0.27336144908646653,0.03610038610038609,0.11516388261292315,222.0
www.transfermarkt.de,0.031673925667828104,0.23878867837648549,0.02345141308555943,0.08906764091507105,123.0
www.zeit.de,0.0016255144032921807,0.10510311580533199,0.0032098765432098768,0.020846292265881906,81.0
www.bild.de,0.04742655768775173,0.21604500077707017,0.032693674484719264,0.0802100568135755,67.0
www.focus.de,-0.0026372529279506075,0.227900892415051,0.030675526024363232,0.0733402706438411,43.0
www.tagesschau.de,-0.048577863577863575,0.19781398347939194,0.013063063063063063,0.04732588868409911,37.0
www.welt.de,0.03796031746031745,0.1788355029982325,0.038809523809523815,0.07312310712434346,35.0
www.faz.net,0.019131324404761903,0.18922518381896425,0.061644345238095234,0.09943872474391342,32.0
www.sueddeutsche.de,0.027336309523809513,0.2924712745044965,0.03125,0.07984640272845005,32.0
consent.google.com,-0.015912698412698403,0.24183566112968394,0.016666666666666666,0.09128709291752768,30.0
www.spiegel.de,-0.011688034188034198,0.17497839237108997,0.0673076923076923,0.09826051193194653,26.0
www.n-tv.de,-0.01766493055555555,0.24939627970645448,0.049305555555555554,0.11496778936986043,16.0
www.tagesspiegel.de,0.11554166666666665,0.1791571573703854,0.09285714285714286,0.13258292232605604,16.0
www.morgenpost.de,0.07966666666666665,0.14602625938623193,0.0037037037037037034,0.014344382763731173,15.0
taz.de,0.016666666666666666,0.1708986518564415,0.10863095238095238,0.1515813283124624,8.0
11freunde.de,0.11247165532879817,0.09004551992862313,0.02040816326530612,0.05399492471560389,7.0
www.dw.com,-0.06456632653061226,0.2134766934623157,0.05535714285714286,0.07966634289633352,7.0
www.jungewelt.de,-0.050624999999999996,0.1368732559503296,0.05555555555555555,0.13608276348795434,6.0
www.nzz.ch,0.14466666666666667,0.2619966072723504,0.02857142857142857,0.06388765649999399,5.0
www.handelsblatt.com,0.1596190476190476,0.10849955850145813,0.014285714285714285,0.031943828249996996,5.0
'SC Freiburg',0.0,0.0,0.0,0.0,5.0
www.freitag.de,-0.09854166666666665,0.18875613186017245,0.05,0.1,4.0
www.sport1.de,-0.23500000000000001,0.277308492477241,0.0,0.0,4.0
www.bvb.de,0.0,0.0,0.0,0.0,4.0
www.sportschau.de,0.25330357142857146,0.4202134798200184,0.0,0.0,4.0
www.swr.de,0.0009523809523809615,0.05857723548450202,0.0,0.0,3.0
www.diepresse.com,-0.2351851851851852,0.14723095711334044,0.0,0.0,3.0
sport.orf.at,0.11333333333333333,0.19629909152447272,0.0,0.0,3.0
www.telepolis.de,-0.05555555555555555,0.09622504486493763,0.08333333333333333,0.14433756729740646,3.0
www.br.de,-0.13,0.18384776310850237,0.125,0.1767766952966369,2.0
www.t-online.de,-0.05,0.07071067811865477,0.0,0.0,2.0
www.waz.de,0.0,1.0,0.0,1.0,1.0
netzpolitik.org,0.0,1.0,0.0,1.0,1.0
biztoc.com,0.0,1.0,0.0,1.0,1.0
www.tz.de,0.0,1.0,0.0,1.0,1.0
burgenland.orf.at,0.0,1.0,0.0,1.0,1.0
www.wettbasis.com,0.0,1.0,0.0,1.0,1.0
www.wiwo.de,0.0,1.0,0.0,1.0,1.0
oe3.orf.at,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
orf.at,0.0,1.0,0.0,1.0,1.0
www.spox.com,0.0,1.0,0.0,1.0,1.0
www.abendzeitung-muenchen.de,0.0,1.0,0.0,1.0,1.0
www.autobild.de,0.0,1.0,0.0,1.0,1.0
www.brigitte.de,0.0,1.0,0.0,1.0,1.0
www.der-postillon.com,0.0,1.0,0.0,1.0,1.0
www.horizont.net,0.0,1.0,0.0,1.0,1.0
